STYLE:,COLOR:,SIZE:,PIECES:,PRICE:,AMOUNT:,WEIGHT:
C8693885932,MsyOak,OSFM,12,3.99,47.88,2.19
80007063012,TexasOrange,2XL,4,4.29,17.16,2.42
80007062952,TexasOrange,XL,4,1.89,7.56,2.08
80007062942,TexasOrange,L,4,1.89,7.56,1.9
80007062932,TexasOrange,M,4,1.89,7.56,1.77
80007062922,TexasOrange,S,4,1.89,7.56,1.54
C8697531632,RT,OSFM,12,3.99,47.88,2.25
6371679826141,OldRoyal,L,1,19.99,19.99,0.56
6371679828152,MarineL,XL,1,19.99,19.99,0.61
6371679828142,MarineL,L,1,19.99,19.99,0.56
6371679828942,Red,L,1,19.99,19.99,0.7
4000995356242,Red,L,1,34.99,34.99,1.29
DT11706335542,HeatherNickel,L,2,3.99,7.98,0.72
DT11706335532,HeatherNickel,M,1,3.99,3.99,0.35
DT11706335522,HeatherNickel,S,3,3.99,11.97,0.94
DT11705277242,BrightWhite,L,4,3.49,13.96,1.44
DT11705277232,BrightWhite,M,2,3.49,6.98,0.68
DT11705277222,BrightWhite,S,5,3.49,17.45,1.51
